"Country","Capital"
"Nigeria","Abuja"
"Niue","Alofi"
"Norfolk Island","Kingston"
"North Korea","Pyongyang"
"North Macedonia","Skopje"
"Northern Mariana Islands","Saipan"
"Norway","Oslo"
"Oman","Muscat"
"Pakistan","Islamabad"
"Palau","Melekeok"
"Palestinian Territory","East Jerusalem"
"Panama","Panama City"
"Papua New Guinea","Port Moresby"
"Paraguay","Asuncion"
"Peru","Lima"
"Philippines","Manila"
"Pitcairn","Adamstown"
"Poland","Warsaw"
"Portugal","Lisbon"
"Puerto Rico","San Juan"
"Qatar","Doha"
"Republic of the Congo","Brazzaville"
"Reunion","Saint-Denis"
"Romania","Bucharest"
"Russia","Moscow"
"Rwanda","Kigali"
"Saint Barthelemy","Gustavia"
"Saint Helena","Jamestown"
"Saint Kitts and Nevis","Basseterre"
"Saint Lucia","Castries"
"Saint Martin","Marigot"
"Saint Pierre and Miquelon","Saint-Pierre"
"Saint Vincent and the Grenadines","Kingstown"
"Samoa","Apia"
"San Marino","San Marino"
"Sao Tome and Principe","Sao Tome"
"Saudi Arabia","Riyadh"
"Senegal","Dakar"
"Serbia and Montenegro","Belgrade"
"Serbia","Belgrade"
"Seychelles","Victoria"
"Sierra Leone","Freetown"
"Singapore","Singapore"
"Sint Maarten","Philipsburg"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"Solomon Islands","Honiara"
"Somalia","Mogadishu"
"South Africa","Pretoria"
"South Georgia and the South Sandwich Islands","Grytviken"
"South Korea","Seoul"
"South Sudan","Juba"
"Spain","Madrid"
"Sri Lanka","Colombo"
"Sudan","Khartoum"
"Suriname","Paramaribo"
"Svalbard and Jan Mayen","Longyearbyen"
"Sweden","Stockholm"
"Switzerland","Bern"
"Syria","Damascus"
"Taiwan","Taipei"
"Tajikistan","Dushanbe"
"Tanzania","Dodoma"
"Thailand","Bangkok"
"Timor Leste","Dili"
"Togo","Lome"
"Tokelau",
"Tonga","Nuku'alofa"
"Trinidad and Tobago","Port of Spain"
"Tunisia","Tunis"
"Turkey","Ankara"
"Turkmenistan","Ashgabat"
"Turks and Caicos Islands","Cockburn Town"
"Tuvalu","Funafuti"
"U.S. Virgin Islands","Charlotte Amalie"
"Uganda","Kampala"
"Ukraine","Kyiv"
"United Arab Emirates","Abu Dhabi"
"United Kingdom","London"
"United States Minor Outlying Islands",
"United States","Washington"
"Uruguay","Montevideo"
"Uzbekistan","Tashkent"
"Vanuatu","Port Vila"
"Vatican","Vatican City"
"Venezuela","Caracas"
"Vietnam","Hanoi"
"Wallis and Futuna","Mata Utu"
"Western Sahara","El-Aaiun"
"Yemen","Sanaa"
"Zambia","Lusaka"
"Zimbabwe","Harare"
